,DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
9466,2011-02-20,2011-02-26,SUDESTE,MINAS GERAIS,ETANOL HIDRATADO,982,R$/l,1.981,0.089,1.69,2.26,0.217,0.045,1.764,0.083,1.44,2.0427,0.047
9467,2011-02-20,2011-02-26,SUDESTE,RIO DE JANEIRO,ETANOL HIDRATADO,726,R$/l,2.068,0.125,1.69,2.449,0.232,0.06,1.836,0.116,1.41,2.0842,0.063
9468,2011-02-20,2011-02-26,SUDESTE,SAO PAULO,ETANOL HIDRATADO,2386,R$/l,1.791,0.099,1.399,2.099,0.243,0.055,1.548,0.078,0.82,1.7829,0.05
9469,2011-02-20,2011-02-26,SUL,PARANA,ETANOL HIDRATADO,566,R$/l,1.897,0.099,1.579,2.14,0.218,0.052,1.679,0.146,1.1,1.989,0.087
9470,2011-02-20,2011-02-26,SUL,RIO GRANDE DO SUL,ETANOL HIDRATADO,560,R$/l,2.194,0.106,1.89,2.498,0.225,0.048,1.969,0.08,1.7499,2.2066,0.041
9471,2011-02-20,2011-02-26,SUL,SANTA CATARINA,ETANOL HIDRATADO,380,R$/l,2.154,0.128,1.879,2.449,0.183,0.059,1.971,0.114,1.3665,2.0972,0.058
9472,2011-02-27,2011-03-05,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,80,R$/l,2.249,0.006,2.2,2.259,0.353,0.003,1.896,0.054,1.8412,1.9857,0.028
9473,2011-02-27,2011-03-05,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,255,R$/l,2.016,0.099,1.77,2.23,0.233,0.049,1.783,0.079,1.6603,1.9751,0.044
9474,2011-02-27,2011-03-05,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,140,R$/l,1.978,0.071,1.86,2.39,0.346,0.036,1.632,0.063,1.4797,1.75,0.039
9475,2011-02-27,2011-03-05,CENTRO OESTE,MATO GROSSO DO SUL,ETANOL HIDRATADO,132,R$/l,2.007,0.091,1.83,2.4,0.226,0.045,1.781,0.055,1.661,2.045,0.031
9476,2011-02-27,2011-03-05,NORDESTE,ALAGOAS,ETANOL HIDRATADO,96,R$/l,2.039,0.06,1.89,2.16,0.209,0.0289999999999999,1.83,0.062,1.558,1.9175,0.034
9477,2011-02-27,2011-03-05,NORDESTE,BAHIA,ETANOL HIDRATADO,420,R$/l,2.071,0.111,1.83,2.299,0.291,0.054,1.78,0.074,1.52,2.0578,0.042
9478,2011-02-27,2011-03-05,NORDESTE,CEARA,ETANOL HIDRATADO,203,R$/l,2.059,0.086,1.87,2.27,0.221,0.042,1.838,0.042,1.679,1.899,0.023
9479,2011-02-27,2011-03-05,NORDESTE,MARANHAO,ETANOL HIDRATADO,122,R$/l,2.072,0.094,1.79,2.39,0.211,0.045,1.861,0.086,1.6283,2.0008,0.046
9480,2011-02-27,2011-03-05,NORDESTE,PARAIBA,ETANOL HIDRATADO,120,R$/l,1.922,0.067,1.69,2.05,0.172,0.035,1.75,0.043,1.6646,1.871,0.025
9481,2011-02-27,2011-03-05,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,335,R$/l,1.908,0.121,1.65,2.299,0.166,0.063,1.742,0.047,1.64,1.9102,0.027
9482,2011-02-27,2011-03-05,NORDESTE,PIAUI,ETANOL HIDRATADO,81,R$/l,2.13,0.077,1.88,2.28,0.185,0.036,1.945,0.07,1.7272,2.0304,0.036
9483,2011-02-27,2011-03-05,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,116,R$/l,2.196,0.123,1.94,2.299,0.394,0.0559999999999999,1.802,0.075,1.549,1.9703,0.042
9484,2011-02-27,2011-03-05,NORDESTE,SERGIPE,ETANOL HIDRATADO,54,R$/l,1.982,0.068,1.839,2.169,0.313,0.034,1.669,0.099,1.5232,1.8495,0.059
9485,2011-02-27,2011-03-05,NORTE,ACRE,ETANOL HIDRATADO,41,R$/l,2.405,0.14,2.3,2.79,0.372,0.0579999999999999,2.033,0.14,1.6533,2.0916,0.069
9486,2011-02-27,2011-03-05,NORTE,AMAPA,ETANOL HIDRATADO,18,R$/l,2.24,0.034,2.16,2.35,0.348,0.015,1.892,0.008,1.8836,1.9034,0.004
9487,2011-02-27,2011-03-05,NORTE,AMAZONAS,ETANOL HIDRATADO,78,R$/l,2.174,0.07,2.1,2.42,0.169,0.032,2.005,0.042,1.8941,2.0496,0.021
9488,2011-02-27,2011-03-05,NORTE,PARA,ETANOL HIDRATADO,104,R$/l,2.191,0.13,1.959,2.609,0.217,0.059,1.974,0.064,1.8776,2.1312,0.032
9489,2011-02-27,2011-03-05,NORTE,RONDONIA,ETANOL HIDRATADO,102,R$/l,2.227,0.051,2.05,2.26,0.399,0.023,1.828,0.056,1.699,1.8891,0.031
9490,2011-02-27,2011-03-05,NORTE,RORAIMA,ETANOL HIDRATADO,17,R$/l,2.346,0.032,2.25,2.4,0.184,0.0139999999999999,2.162,0.1,1.8228,2.2486,0.046
9491,2011-02-27,2011-03-05,NORTE,TOCANTINS,ETANOL HIDRATADO,59,R$/l,2.071,0.045,1.99,2.15,0.383,0.022,1.688,0.054,1.589,1.7193,0.032
9492,2011-02-27,2011-03-05,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,191,R$/l,2.221,0.11,1.82,2.39,0.268,0.05,1.953,0.054,1.7198,2.0394,0.028
9493,2011-02-27,2011-03-05,SUDESTE,MINAS GERAIS,ETANOL HIDRATADO,981,R$/l,2.024,0.081,1.759,2.295,0.225,0.04,1.799,0.074,1.48,2.0651,0.041
9494,2011-02-27,2011-03-05,SUDESTE,RIO DE JANEIRO,ETANOL HIDRATADO,731,R$/l,2.077,0.136,1.62,2.629,0.246,0.065,1.831,0.13,1.375,2.0449,0.071
